"Ts4xsKPU7FNPPZRj-nRjIg,kKmvSJ6Z8UVPdrnL74bqrg"	[0.039166666666666669, 0.0085000000000000006, 0.00083333333333333339, 0.021276595744680851, 2.5031289111389232]
"UtWJ8NGMg-3z28s0RzlUoQ,1qCuOcks5HRv67OHovAVpg"	[0.0091666666666666667, 0.0074999999999999997, 0.00083333333333333339, 0.090909090909090912, 12.121212121212123]
"UtWJ8NGMg-3z28s0RzlUoQ,kKmvSJ6Z8UVPdrnL74bqrg"	[0.0091666666666666667, 0.0085000000000000006, 0.00083333333333333339, 0.090909090909090912, 10.695187165775401]
"WWlNzfSllSQhr4whj0W_ng,PzG0XmAmtXFs6Fdnubf41g"	[0.046666666666666669, 0.068000000000000005, 0.0025000000000000001, 0.053571428571428568, 0.78781512605042003]
"YMEtEsUDQKOYJOcE5Fx3gQ,wfCLz9-aeShbPB7CaTY-qQ"	[0.017500000000000002, 0.0395, 0.00083333333333333339, 0.047619047619047616, 1.2055455093429777]
"ZL6DNzyenFm9Kpz6uADlNg,2SwC8wqpZC4B9iFVTgYT9A"	[0.037499999999999999, 0.095500000000000002, 0.0050000000000000001, 0.13333333333333333, 1.3961605584642234]
"eT5Ck7Gg1dBJobca9VFovw,JDDeaNfb0JXD1NbznSIC9g"	[0.016666666666666666, 0.029499999999999998, 0.0041666666666666666, 0.25, 8.4745762711864412]
"f_e6RWJIERK708E4Cod1wg,BG4N0V93wml9kaU6YYRxRA"	[0.0074999999999999997, 0.0050000000000000001, 0.00083333333333333339, 0.11111111111111112, 22.222222222222225]
"g58NW9q4F09wTMiI7EIjmg,kKmvSJ6Z8UVPdrnL74bqrg"	[0.010833333333333334, 0.0085000000000000006, 0.00083333333333333339, 0.076923076923076927, 9.0497737556561084]
"lHP5STO7aomlEQixH8m1aA,g58NW9q4F09wTMiI7EIjmg"	[0.031666666666666669, 0.0064999999999999997, 0.00083333333333333339, 0.026315789473684209, 4.048582995951417]
"qA1PXTv0snTO1gpNPm-Jfw,McikHxxEqZ2X0joaRNKlaw"	[0.013333333333333334, 0.041500000000000002, 0.0016666666666666668, 0.125, 3.012048192771084]
"qA1PXTv0snTO1gpNPm-Jfw,ucKQlQvOeJxETLNkpKcaSw"	[0.013333333333333334, 0.0085000000000000006, 0.00083333333333333339, 0.0625, 7.3529411764705879]
"r8BwdblCW-ZUES37BL0khw,7wT532x2Qz5Hw9BqtBapqw"	[0.0074999999999999997, 0.0060000000000000001, 0.00083333333333333339, 0.11111111111111112, 18.518518518518519]
"2SwC8wqpZC4B9iFVTgYT9A,mVHrayjG3uZ_RLHkLj-AMg"	[0.15916666666666668, 0.0050000000000000001, 0.00083333333333333339, 0.005235602094240838, 1.0471204188481675]
"6ilJq_05xRgek_8qUp36-g,UtWJ8NGMg-3z28s0RzlUoQ"	[0.026666666666666668, 0.0054999999999999997, 0.00083333333333333339, 0.03125, 5.6818181818181825]
"6p9TlP2I8S4agxYMNFSDjg,g58NW9q4F09wTMiI7EIjmg"	[0.024166666666666666, 0.0064999999999999997, 0.00083333333333333339, 0.034482758620689655, 5.3050397877984086]
"83_p9vIqOq1TUIf3_GD7bA,EoAY1JSVeJriBzId8lUQwQ"	[0.069166666666666668, 0.023, 0.0016666666666666668, 0.024096385542168676, 1.0476689366160294]
"83_p9vIqOq1TUIf3_GD7bA,WWlNzfSllSQhr4whj0W_ng"	[0.069166666666666668, 0.028000000000000001, 0.00083333333333333339, 0.012048192771084338, 0.43029259896729777]
"83_p9vIqOq1TUIf3_GD7bA,s74Tq6WKV1b91UFRr7ch7g"	[0.069166666666666668, 0.0054999999999999997, 0.00083333333333333339, 0.012048192771084338, 2.190580503833516]
"BG4N0V93wml9kaU6YYRxRA,FiXamVMgMf9U0VqFHDZSEA"	[0.0083333333333333332, 0.0064999999999999997, 0.00083333333333333339, 0.10000000000000001, 15.384615384615387]
