run_number,name,importance
0,bus_city_Braddock,0.001138643
0,bc_census_tract_320030032601,0.001130107
0,bus_categories_Soup,0.001128119
0,b09002e18,0.001112359
0,bc_census_tract_420032701001,0.001101493
0,bc_census_tract_40131125051,0.001090468
0,bc_census_tract_550250115052,0.001080419
0,bc_census_tract_40133184002,0.001061759
0,bc_census_tract_371190061041,0.001046247
0,bc_census_tract_320030036251,0.001038383
0,bc_census_tract_40136170002,0.001031691
0,b09002e17,0.001020595
0,bus_hours_Friday_open_05:45:00,0.000993013
0,bus_hours_Tuesday_open_05:45:00,0.000989957
0,bc_census_tract_40131167291,0.000982293
0,bc_census_tract_170190057021,0.000981298
0,bc_census_tract_40131125121,0.000978966
0,bc_census_tract_320030036281,0.000966807
0,bc_census_tract_40135229012,0.000963917
0,bc_census_tract_40134216011,0.000959632
0,bc_census_tract_320030034081,0.000947285
0,bc_census_tract_320030028384,0.000945365
0,bc_census_tract_371190016061,0.00093924
0,bus_hours_Thursday_open_17:30:00,0.000927115
0,bc_census_tract_370250426031,0.00091585
0,bc_census_tract_40131060022,0.000908524
0,bc_census_tract_320030029053,0.000905957
0,b09002e12,0.000903536
0,bc_census_tract_320030051093,0.000893651
0,bus_categories_Breweries,0.000889518
0,bus_hours_Wednesday_close_17:00:00,0.000867739
0,bus_hours_Thursday_close_08:30:00,0.00084395
0,bus_hours_Saturday_open_11:30:00,0.000840781
0,bus_hours_Wednesday_open_23:30:00,0.000827169
0,bc_census_tract_420032614001,0.000825078
0,bc_census_tract_320030022062,0.000820323
0,bc_census_tract_40134201142,0.000820233
0,bc_census_tract_40134225034,0.000816792
0,bc_census_tract_40132168432,0.000790051
0,bc_census_tract_371190027023,0.000784603
0,bus_neighborhoods_Moorland___Rimrock,0.000782854
0,bus_attributes_Hair_Types_Specialized_In_extensions,0.000781656
0,b09002e15,0.000779118
0,bc_census_tract_40131162032,0.000778541
0,bus_hours_Tuesday_open_13:30:00,0.000770561
0,b09002m13,0.000762935
0,bc_census_tract_40131068011,0.000761098
0,bc_census_tract_320030011001,0.000756546
0,b09002m15,0.000755746
0,bc_census_tract_320030058251,0.000746938
0,bc_census_tract_550250002012,0.000744966
0,bus_categories_Notaries,0.000733088
0,bus_categories_Arts___Crafts,0.000724431
0,bus_city_Cave Creek,0.000724356
0,bc_census_tract_40130715091,0.000719943
0,bc_census_tract_40138166001,0.000711081
0,bc_census_tract_40133200012,0.000710311
0,bus_categories_Personal_Assistants,0.000708512
0,bc_census_tract_40134208003,0.000707691
0,bus_categories_Language_Schools,0.000706389
0,bc_census_tract_40132171011,0.000705302
0,bc_census_tract_40130506082,0.000701692
0,bc_census_tract_40131083011,0.000700461
0,bc_census_tract_40131036061,0.00069853
0,bc_census_tract_40136106003,0.000698352
0,bc_census_tract_40133197041,0.000691155
0,bus_hours_Saturday_close_03:00:00,0.000688572
0,bc_census_tract_40132168161,0.000688038
0,bus_categories_Kosher,0.00068156
0,bc_census_tract_371190020024,0.000680163
0,bc_region_charlotte,0.00067499
0,bus_categories_Hot_Pot,0.000662516
0,bc_census_tract_320030034233,0.000661999
0,bc_census_tract_40130822052,0.000655712
0,bc_census_tract_550250017041,0.000651237
0,bc_census_tract_550250101001,0.000647081
0,bus_hours_Tuesday_close_23:30:00,0.000646569
0,bc_census_tract_40135231044,0.000646381
0,bc_census_tract_371190008001,0.000645561
0,bc_census_tract_40136186003,0.000645295
0,bc_census_tract_371190053011,0.000644272
0,bc_census_tract_40131092001,0.000643871
0,bus_hours_Thursday_close_10:00:00,0.000639144
0,bc_census_tract_40134207052,0.000628249
0,bus_categories_Health_Retreats,0.000625463
0,bus_hours_Saturday_close_15:30:00,0.000623642
0,bc_census_tract_40210014042,0.000621797
0,bus_categories_Yoga,0.000616641
0,bus_neighborhoods_Highland_Creek,0.000602852
0,bc_census_tract_40132179001,0.000597546
0,bc_census_tract_420031403003,0.000596131
0,bc_census_tract_40133199052,0.000592285
0,bc_census_tract_40133194031,0.000583209
0,bus_categories_Motorcycle_Repair,0.00058202
0,bc_census_tract_420030705002,0.000580061
0,bus_categories_Bail_Bondsmen,0.000575877
0,bc_census_tract_40138109002,0.000575747
0,bus_attributes_Wi_Fi_no,0.000572048
0,bc_census_tract_371190017011,0.000567593
0,bus_hours_Thursday_close_11:30:00,0.000560526
0,bus_attributes_Hair_Types_Specialized_In_coloring,0.000547303
0,bus_hours_Thursday_open_16:00:00,0.000545527
0,bus_categories_Recording___Rehearsal_Studios,0.000543352
0,bus_attributes_Noise_Level_loud,0.000540368
0,bc_census_tract_371190020043,0.000539242
0,bc_census_tract_40131094004,0.000538927
0,bc_census_tract_370710311021,0.000535586
0,bus_hours_Thursday_open_05:30:00,0.000533704
0,bus_categories_Egyptian,0.000531634
0,bc_census_tract_170190002002,0.000530839
0,bc_census_tract_420032507001,0.00052867
0,bc_census_tract_40131032121,0.000527182
0,bus_hours_Monday_close_13:00:00,0.000527135
0,bc_census_tract_40138114001,0.00052699
0,bc_census_tract_40131167301,0.000523175
0,bus_hours_Thursday_close_21:15:00,0.000521508
0,bc_census_tract_40131032083,0.000519602
0,b25004e2,0.000519263
0,bc_census_tract_40134207043,0.000515916
0,bc_census_tract_320030018015,0.00051219
0,bc_census_tract_40131047022,0.000509002
0,bc_census_tract_40139410002,0.00050743
0,bus_categories_Bars,0.00049991
0,bus_city_Henderson,0.000499258
0,bc_census_tract_40131097031,0.000498462
0,bus_hours_Monday_open_23:30:00,0.000498175
0,bc_census_tract_40210003153,0.000495872
0,bus_categories_Speech_Therapists,0.000493108
0,bc_census_tract_550250106001,0.000493086
0,bc_census_tract_40130506091,0.000491295
0,bc_census_tract_320030036342,0.000489484
0,bus_categories_Tax_Services,0.000485328
0,bc_census_tract_320030028341,0.00048493
0,bus_categories_Eyewear___Opticians,0.000483525
0,bc_census_tract_320030034111,0.000481969
0,bc_census_tract_40134216021,0.000477783
0,bus_categories_Mobile_Phone_Repair,0.000473082
0,bc_census_tract_40134226331,0.000465342
0,bc_census_tract_40134225021,0.000462077
0,bus_categories_Christmas_Markets,0.000461446
0,bc_census_tract_320030042002,0.000460039
0,bc_census_tract_320030001014,0.000458596
0,bc_census_tract_420034731002,0.00045264
0,bc_census_tract_320030050122,0.000451515
0,bus_neighborhoods_Lawrenceville,0.000448639
0,bc_census_tract_320030028303,0.000448355
0,bus_categories_Challenge_Courses,0.000448252
0,bc_census_tract_40131167281,0.000448246
0,bc_census_tract_40131045021,0.000448069
0,bus_categories_Plus_Size_Fashion,0.000446655
0,bus_hours_Friday_close_16:00:00,0.000443369
0,bus_hours_Tuesday_close_05:00:00,0.00044175
0,bc_census_tract_320030035002,0.000441605
0,bc_census_tract_40130930021,0.000441522
0,bus_categories_Chicken_Wings,0.000438027
0,bc_census_tract_420033207002,0.000435384
0,bus_neighborhoods_Willy_St,0.00043521
0,bus_city_Apache Junction,0.000432721
0,bc_census_tract_40131159001,0.000424934
